send_time          ,time_process          ,image_count ,time_received
1733409586.4714835 , 0.014311552047729492 ,       77.0 ,1733409586.57332
1733409586.5035267 , 0.014782190322875977 ,       78.0 ,1733409586.57332
1733409586.535222  , 0.01478719711303711  ,       79.0 ,1733409586.57332
1733409586.597204  , 0.013548612594604492 ,       81.0 ,1733409586.6776562
1733409586.6299672 , 0.01471257209777832  ,       82.0 ,1733409586.6776562
1733409586.6659045 , 0.018845558166503906 ,       83.0 ,1733409586.6776562
1733409586.696292  , 0.014533281326293945 ,       84.0 ,1733409586.741097
1733409586.7288733 , 0.01544499397277832  ,       85.0 ,1733409586.741097
1733409587.324974  , 0.013332605361938477 ,       86.0 ,1733409587.676794
1733409587.4231746 , 0.02030038833618164  ,       87.0 ,1733409587.677192
1733409587.4902809 , 0.0183565616607666   ,       88.0 ,1733409587.677192
1733409587.5288417 , 0.016386032104492188 ,       89.0 ,1733409587.677192
1733409587.5674412 , 0.015806198120117188 ,       90.0 ,1733409587.677192
1733409587.6042259 , 0.01511836051940918  ,       91.0 ,1733409587.677192
1733409587.6373885 , 0.016101837158203125 ,       92.0 ,1733409587.763552
1733409587.6713848 , 0.0163881778717041   ,       93.0 ,1733409587.763552
1733409587.7040606 , 0.014281749725341797 ,       94.0 ,1733409587.763552
1733409587.740208  , 0.014094114303588867 ,       95.0 ,1733409587.763552
1733409587.7783058 , 0.014180898666381836 ,       96.0 ,1733409587.829296
1733409587.8140373 , 0.014463663101196289 ,       97.0 ,1733409587.829296
1733409587.8457403 , 0.014751672744750977 ,       98.0 ,1733409587.899385
1733409587.8825905 , 0.014826536178588867 ,       99.0 ,1733409587.899385
1733409587.914443  , 0.015017986297607422 ,      100.0 ,1733409587.980441
1733409587.9461873 , 0.013956785202026367 ,      101.0 ,1733409587.980441
1733409587.9778173 , 0.014208793640136719 ,      102.0 ,1733409588.0537212
1733409588.0133557 , 0.015311717987060547 ,      103.0 ,1733409588.0537212
1733409588.0458229 , 0.013968944549560547 ,      104.0 ,1733409588.0537212
1733409588.078149  , 0.014127016067504883 ,      105.0 ,1733409588.109501
1733409588.1105616 , 0.015092611312866211 ,      106.0 ,1733409588.20517
1733409588.1445253 , 0.014711141586303711 ,      107.0 ,1733409588.20517
1733409588.175214  , 0.013877391815185547 ,      108.0 ,1733409588.20517
1733409588.2132633 , 0.016791582107543945 ,      109.0 ,1733409588.26754
1733409588.2420764 , 0.013905048370361328 ,      110.0 ,1733409588.26754
1733409588.2822008 , 0.01583242416381836  ,      111.0 ,1733409588.3295581
1733409588.3132224 , 0.015406370162963867 ,      112.0 ,1733409588.3295581
1733409588.3507638 , 0.01440882682800293  ,      113.0 ,1733409588.39988
1733409588.3849869 , 0.015748262405395508 ,      114.0 ,1733409588.39988
1733409588.4801366 , 0.01790642738342285  ,      115.0 ,1733409588.480533
1733409588.5144567 , 0.015798091888427734 ,      116.0 ,1733409588.547869
1733409588.5486574 , 0.014996528625488281 ,      117.0 ,1733409588.608921
1733409588.57883   , 0.013597726821899414 ,      118.0 ,1733409588.608921
1733409588.6176794 , 0.01617908477783203  ,      119.0 ,1733409588.668855
1733409588.653246  , 0.01859903335571289  ,      120.0 ,1733409588.668855
1733409588.689635  , 0.014837026596069336 ,      121.0 ,1733409588.734668
1733409588.7214541 , 0.014609336853027344 ,      122.0 ,1733409588.734668
1733409588.7570794 , 0.01393270492553711  ,      123.0 ,1733409588.807384
1733409588.790731  , 0.015219926834106445 ,      124.0 ,1733409588.807384
